JET AIRWAYS,BANGKOK,DELHI,105510,107513
JET AIRWAYS,BANGKOK,MUMBAI,163201,159257
JET AIRWAYS,COLOMBO,BENGALURU,7194,7163
JET AIRWAYS,COLOMBO,MUMBAI,99433,103746
JET AIRWAYS,DAMMAM,DELHI,83214,75480
JET AIRWAYS,DAMMAM,HYDERABAD,19757,20443
JET AIRWAYS,DAMMAM,KOCHI,40862,43937
JET AIRWAYS,DAMMAM,KOZHIKODE,43853,44899
JET AIRWAYS,DAMMAM,MUMBAI,72585,79328
JET AIRWAYS,DAMMAM,TRIVANDRUM,47695,52165
JET AIRWAYS,DHAKA,DELHI,44361,44669
JET AIRWAYS,DHAKA,KOLKATA,50216,52415
JET AIRWAYS,DHAKA,MUMBAI,49224,43659
JET AIRWAYS,DOHA,DELHI,90038,87470
JET AIRWAYS,DOHA,KOCHI,46142,53872
JET AIRWAYS,DOHA,KOZHIKODE,44833,50750
JET AIRWAYS,DOHA,MUMBAI,80271,81391
JET AIRWAYS,DOHA,TRIVANDRUM,22677,25306
JET AIRWAYS,DUBAI,DELHI,147677,151219
JET AIRWAYS,DUBAI,KOCHI,43043,49701
JET AIRWAYS,DUBAI,MANGALORE,49189,48617
JET AIRWAYS,DUBAI,MUMBAI,277672,282077
JET AIRWAYS,DUBAI,TRIVANDRUM,13986,12975
JET AIRWAYS,HONG KONG,DELHI,77407,76423
JET AIRWAYS,HONG KONG,MUMBAI,91232,92565
JET AIRWAYS,JEDDAH,MUMBAI,63701,55952
JET AIRWAYS,KATHMANDU,DELHI,133987,129667
JET AIRWAYS,KATHMANDU,MUMBAI,72275,66413
JET AIRWAYS,KUWAIT,MUMBAI,100823,106206
JET AIRWAYS,LONDON,DELHI,113096,108514
JET AIRWAYS,LONDON,MUMBAI,217738,225913
JET AIRWAYS,MALE,JAIPUR,0,101
JET AIRWAYS,MUSCAT,DELHI,44930,40634
JET AIRWAYS,MUSCAT,KOCHI,42378,46377
JET AIRWAYS,MUSCAT,KOZHIKODE,0,164
JET AIRWAYS,MUSCAT,MUMBAI,46525,49805
JET AIRWAYS,MUSCAT,TRIVANDRUM,46593,45928
JET AIRWAYS,PARIS,MUMBAI,80519,77686
JET AIRWAYS,RIYADH,MUMBAI,58382,58403
JET AIRWAYS,SHARJAH,DELHI,895,650
JET AIRWAYS,SHARJAH,KOCHI,45612,49410
JET AIRWAYS,SHARJAH,KOZHIKODE,8679,11474
JET AIRWAYS,SHARJAH,MANGALORE,11251,14704
JET AIRWAYS,SINGAPORE,BENGALURU,12067,12450
JET AIRWAYS,SINGAPORE,CHENNAI,45761,51445
JET AIRWAYS,SINGAPORE,DELHI,78072,78493
JET AIRWAYS,SINGAPORE,MUMBAI,145369,149553
JET AIRWAYS,TORONTO,DELHI,48168,51121
KALITTA AIR,HONG KONG,DELHI,0,0
KALITTA AIR,LEIPZIG,DELHI,0,0
KAM AIR,KABUL,DELHI,45023,43153
KENYA AIRWAYS,NAIROBI,MUMBAI,70733,74497
KLM AIRLINES,AMSTERDAM,DELHI,107028,112877
KOREAN AIR,SEOUL,CHENNAI,0,0
KOREAN AIR,SEOUL,DELHI,10755,10125
KOREAN AIR,SEOUL,MUMBAI,26480,27823
KUWAIT AIRWAYS,KUWAIT,AHMEDABAD,25840,24559
